title,txt_content,time_sent,url,brand_name,is_fast_fashion,year
Celebrate the season with ÉCLATS DU SOIR DE CHANEL,,"November 19, 2012 8:06pm",https://milled.com/Chanel/celebrate-the-season-with-clats-du-soir-de-chanel-FYTrj-IlQdxNbw3P,Chanel,0,2012
What do you wear to bed? Discover the answer on Inside CHANEL.,,"November 16, 2012 6:01pm",https://milled.com/Chanel/what-do-you-wear-to-bed-discover-the-answer-on-inside-chanel-uXtPcER88ij1nFRP,Chanel,0,2012
Cruise 2012/13: Now Available in Boutiques,,"November 15, 2012 3:02pm",https://milled.com/Chanel/cruise-2012-13-now-available-in-boutiques-WBEwqpeXDgZ5Jc-I,Chanel,0,2012
Discover this season's ultimate skincare luxury,,"November 14, 2012 5:04pm",https://milled.com/Chanel/discover-this-seasons-ultimate-skincare-luxury-lE8pEz8vUfrslp2J,Chanel,0,2012
Limited quantities now available. Preview the new LE VOLUME DE CHANEL Mascara.,,"November 12, 2012 10:20pm",https://milled.com/Chanel/limited-quantities-now-available-preview-the-new-le-volume-de-chanel-mascara-6LBjDSqasaQs8jse,Chanel,0,2012
A perfect pairing from LES EXCLUSIFS DE CHANEL,,"November 10, 2012 5:02pm",https://milled.com/Chanel/a-perfect-pairing-from-les-exclusifs-de-chanel-P7M1Dcc0pPItWnla,Chanel,0,2012
Experience the spirited and sensual COCO MADEMOISELLE parfum,,"November 8, 2012 6:46pm",https://milled.com/Chanel/experience-the-spirited-and-sensual-coco-mademoiselle-parfum-KDuuDZYPFweg7Mg-,Chanel,0,2012
J12 GMT: The Essential for all World Travelers,"Having trouble with the email below? View on a mobile device or web browser. CHANEL.COM | Store Locator | Contact us | Follow us on To update your email preferences or to unsubscribe, please click here. CHANEL 9 WEST 57TH STREET, NEW YORK, NY 10019©2012 CHANEL®, Inc.","November 6, 2012 8:16pm",https://milled.com/Chanel/j12-gmt-the-essential-for-all-world-travelers-hjHIpB9fI1GNXzSE,Chanel,0,2012
Celebrate the holiday season with a new colour collection,,"November 6, 2012 6:20pm",https://milled.com/Chanel/celebrate-the-holiday-season-with-a-new-colour-collection-4vvdIsjOgLY_9b9V,Chanel,0,2012
"Discover the luxurious, limited-edition creations of N°5",,"October 28, 2012 1:02pm",https://milled.com/Chanel/discover-the-luxurious-limited-edition-creations-of-n-5-Pm3-LVxEyW7lznIC,Chanel,0,2012
Introducing the new holiday look,,"October 26, 2012 7:56pm",https://milled.com/Chanel/introducing-the-new-holiday-look-NEabVchbMY1UxD-B,Chanel,0,2012
Discover the legendary N°5 fragrance,,"October 23, 2012 7:01pm",https://milled.com/Chanel/discover-the-legendary-n-5-fragrance-oU4BHpp0WSvzZRnF,Chanel,0,2012
A tribute to red with six shades of ROUGE ALLURE,,"October 20, 2012 10:03pm",https://milled.com/Chanel/a-tribute-to-red-with-six-shades-of-rouge-allure-Tsmtl7WqrkvvbGhg,Chanel,0,2012
"Red: an attitude, a style, an allure",,"October 19, 2012 4:01pm",https://milled.com/Chanel/red-an-attitude-a-style-an-allure-6At2B0sG11gShJ-m,Chanel,0,2012
It's not a journey. Every journey ends...,,"October 16, 2012 11:26pm",https://milled.com/Chanel/its-not-a-journey-every-journey-ends-F67UtXshMwWOtmNI,Chanel,0,2012
Inevitable,,"October 14, 2012 11:01pm",https://milled.com/Chanel/inevitable-VDOW2nH7QxdPoIA1,Chanel,0,2012
New: the limited-edition CONTRASTES ESSENTIELS DE CHANEL Collection,,"October 12, 2012 4:02pm",https://milled.com/Chanel/new-the-limited-edition-contrastes-essentiels-de-chanel-collection-wxGld9O8jDBPjNYW,Chanel,0,2012
Introducing the newest Camélia Collection,"Having trouble with the email below? View on a mobile device or web browser. CHANEL.COM | Store Locator | Contact us | Follow us on To update your email preferences or to unsubscribe, please click here. CHANEL 9 WEST 57TH STREET, NEW YORK, NY 10019©2012 CHANEL®, Inc.","October 10, 2012 8:02pm",https://milled.com/Chanel/introducing-the-newest-cam-lia-collection-RTZRJCgRE4Ug-gaD,Chanel,0,2012
Inevitable Encounters - The Iconic Fragrance,,"October 8, 2012 3:02pm",https://milled.com/Chanel/inevitable-encounters-the-iconic-fragrance-ZOxI1cLIpyXeu8jQ,Chanel,0,2012
For the first time...,,"October 5, 2012 3:01pm",https://milled.com/Chanel/for-the-first-time-sJ4vE29XjbROxICe,Chanel,0,2012
Experience the Spring-Summer 2013 Ready-to-Wear Show,,"October 3, 2012 2:17pm",https://milled.com/Chanel/experience-the-spring-summer-2013-ready-to-wear-show-vO4_VWymdu4GrigI,Chanel,0,2012
Accent on blue: new limited-edition LE VERNIS,,"October 2, 2012 7:02pm",https://milled.com/Chanel/accent-on-blue-new-limited-edition-le-vernis-419NRUh_FEEXpDCi,Chanel,0,2012
LE VERNIS in Vertigo creates a stir,,"September 30, 2012 4:02pm",https://milled.com/Chanel/le-vernis-in-vertigo-creates-a-stir-EUe2qKbXGE6JLsu2,Chanel,0,2012
"The mystery revealed... Discover COCO NOIR, the new women's fragrance",,"September 28, 2012 4:03pm",https://milled.com/Chanel/the-mystery-revealed-discover-coco-noir-the-new-womens-fragrance-GEogdnVGujLpE_0m,Chanel,0,2012
Complement your bold-lip look with LE VERNIS in Beige,,"September 26, 2012 7:02pm",https://milled.com/Chanel/complement-your-bold-lip-look-with-le-vernis-in-beige-X2d6LcZMmmdKA9Gv,Chanel,0,2012
"Discover joyful, radiant beauty with the limited-edition FLEUR DE LOTUS Collection",,"September 23, 2012 10:02pm",https://milled.com/Chanel/discover-joyful-radiant-beauty-with-the-limited-edition-fleur-de-lotus--AxUSGmTIv3bSrgcC,Chanel,0,2012
Discover the Tweed Eyewear Collection,,"September 21, 2012 3:16pm",https://milled.com/Chanel/discover-the-tweed-eyewear-collection-8qO-dxWjN9quaE_Q,Chanel,0,2012
Discover exceptional anti-aging skincare from Chanel,,"September 18, 2012 7:02pm",https://milled.com/Chanel/discover-exceptional-anti-aging-skincare-from-chanel-KzERm3U3wqQR4Ky9,Chanel,0,2012
Extend your Summer glow with SOLEIL TAN DE CHANEL,,"September 15, 2012 1:03pm",https://milled.com/Chanel/extend-your-summer-glow-with-soleil-tan-de-chanel-wn4-dS8Y9ICDoyNt,Chanel,0,2012
ULTRA,"Having trouble with the email below? View on a mobile device or web browser. CHANEL.COM | Store Locator | Contact us | Follow us on To update your email preferences or to unsubscribe, please click here. CHANEL 9 WEST 57TH STREET, NEW YORK, NY 10019©2012 CHANEL®,Inc.","September 13, 2012 9:32pm",https://milled.com/Chanel/ultra-o2LhyqCQnag6ucSq,Chanel,0,2012
Introducing the ultimate anti-aging treatment for eyes,,"September 13, 2012 3:13pm",https://milled.com/Chanel/introducing-the-ultimate-anti-aging-treatment-for-eyes-6VlS4u5knOXjjHJ8,Chanel,0,2012
Now in Boutiques: Fall-Winter 2012/13 Collection,,"September 10, 2012 5:13pm",https://milled.com/Chanel/now-in-boutiques-fall-winter-2012-13-collection-laSMk3yBTGB57YAs,Chanel,0,2012
Master the art of beauty with a collection of expert brushes,,"September 10, 2012 3:17pm",https://milled.com/Chanel/master-the-art-of-beauty-with-a-collection-of-expert-brushes-i5yESXSQ6xFcN0h8,Chanel,0,2012
Enter the World of the J12 White,"Having trouble with the email below? View on a mobile device or web browser. CHANEL.COM | Store Locator | Contact us | Follow us on To update your email preferences or to unsubscribe, please click here. CHANEL 9 WEST 57TH STREET, NEW YORK, NY 10019©2012 CHANEL®,Inc.","September 8, 2012 1:02pm",https://milled.com/Chanel/enter-the-world-of-the-j12-white-gPv-ORainIPijr5K,Chanel,0,2012
Target dark spots with a new treatment from LE BLANC skincare,,"September 8, 2012 10:01am",https://milled.com/Chanel/target-dark-spots-with-a-new-treatment-from-le-blanc-skincare-dTl8Y4CrOG0TdTAk,Chanel,0,2012
For Fashion's Night Out: new limited-edition duos for lips and nails,,"September 6, 2012 4:57pm",https://milled.com/Chanel/for-fashions-night-out-new-limited-edition-duos-for-lips-and-nails-d99b8II8vSlofE-w,Chanel,0,2012
"Pre-order limited-edition twin-sets for lips and nails, new for Fashion's Night Out",,"September 4, 2012 5:17pm",https://milled.com/Chanel/pre-order-limited-edition-twin-sets-for-lips-and-nails-new-for-fashions-night--9tlF40Lh2GuCTn7D,Chanel,0,2012
SOLEIL: Discover the Second Chapter,"Having trouble with the email below? View on a mobile device or web browser. CHANEL.COM | Store Locator | Contact us | Follow us on To update your email preferences or to unsubscribe, please click here. CHANEL 9 WEST 57TH STREET, NEW YORK, NY 10019©2012 CHANEL®,Inc.","August 31, 2012 4:37pm",https://milled.com/Chanel/soleil-discover-the-second-chapter-cIcf-sh1qaRokBDu,Chanel,0,2012
"New: the limited-edition collection, BLUE ILLUSION DE CHANEL",,"August 30, 2012 3:32pm",https://milled.com/Chanel/new-the-limited-edition-collection-blue-illusion-de-chanel-WlE0G3OljCmBn3Tr,Chanel,0,2012
New: LES EXCLUSIFS Fresh Body Cream,,"August 25, 2012 10:02am",https://milled.com/Chanel/new-les-exclusifs-fresh-body-cream-IycoZGYsWMK6Do_Z,Chanel,0,2012
"Discover more intense, long-lasting colour with the new Rouge Allure lip colour",,"August 23, 2012 8:05pm",https://milled.com/Chanel/discover-more-intense-long-lasting-colour-with-the-new-rouge-allure-lip-colour-9L4bTTIyNVIO0-M6,Chanel,0,2012
Get the elegant look of Fall beauty from Chanel,,"August 18, 2012 1:00pm",https://milled.com/Chanel/get-the-elegant-look-of-fall-beauty-from-chanel-Ah7TNTtzUc9aCBuR,Chanel,0,2012
For the man on the go: BLEU DE CHANEL Travel Spray,,"August 16, 2012 2:11pm",https://milled.com/Chanel/for-the-man-on-the-go-bleu-de-chanel-travel-spray-1wX5KMmM7I6w9XcA,Chanel,0,2012
The ultimate in feminine allure: ALLURE SENSUELLE,,"August 11, 2012 12:08pm",https://milled.com/Chanel/the-ultimate-in-feminine-allure-allure-sensuelle-fsNYT8Qhtv5YFVKJ,Chanel,0,2012
"Discover the exclusive, limited-edition FLEUR DE LOTUS Collection",,"August 8, 2012 1:02am",https://milled.com/Chanel/discover-the-exclusive-limited-edition-fleur-de-lotus-collection-yRhb4gup6hzTgnRB,Chanel,0,2012
Get protection perfection with two Summer essentials,,"August 4, 2012 10:03am",https://milled.com/Chanel/get-protection-perfection-with-two-summer-essentials-EsU7RA9U8MRuj5P3,Chanel,0,2012
A unique summer scent from LES EXCLUSIFS DE CHANEL,,"July 28, 2012 10:04am",https://milled.com/Chanel/a-unique-summer-scent-from-les-exclusifs-de-chanel-RBMsy2utdIv9ZQ_2,Chanel,0,2012
"An opulent, limited-edition treasure from BOMBAY EXPRESS DE CHANEL",,"July 26, 2012 10:03am",https://milled.com/Chanel/an-opulent-limited-edition-treasure-from-bombay-express-de-chanel-0Y8_VnAL7RWVTVmD,Chanel,0,2012
,,,,Shein,1,2012
The Scents of the Season by Gucci Parfums,,"December 18, 2012 6:49pm",https://milled.com/Gucci/the-scents-of-the-season-by-gucci-parfums-qbqCpk4aJfoNZgyR,Gucci,0,2012
Celebrate the Season with GUCCI NOW,,"December 17, 2012 4:15pm",https://milled.com/Gucci/celebrate-the-season-with-gucci-now-9-mp_MTAjzerseMH,Gucci,0,2012
Timeless Elegance: Gucci Icons for Her,,"December 14, 2012 2:12pm",https://milled.com/Gucci/timeless-elegance-gucci-icons-for-her-KgZPhE3tnERX0uXp,Gucci,0,2012
Make a Statement with Gucci Jewels,,"December 12, 2012 3:35pm",https://milled.com/Gucci/make-a-statement-with-gucci-jewels-bfwmSKp1dxvIWYZE,Gucci,0,2012
Discover the new Interlocking Collection,,"December 10, 2012 2:44pm",https://milled.com/Gucci/discover-the-new-interlocking-collection-FRUOe9urN1ff31CP,Gucci,0,2012
Holiday Sparkle: The Season's Most Glamorous Gifts,,"December 7, 2012 2:10pm",https://milled.com/Gucci/holiday-sparkle-the-seasons-most-glamorous-gifts-28RZoBVkj0S1tWFm,Gucci,0,2012
You're Invited: Looks for the Holiday Party Circuit,,"December 4, 2012 4:10pm",https://milled.com/Gucci/youre-invited-looks-for-the-holiday-party-circuit-ct3-Oj4d6xDmBGXd,Gucci,0,2012
Gucci Gifts for your Favorite Techie,,"November 26, 2012 6:07pm",https://milled.com/Gucci/gucci-gifts-for-your-favorite-techie-5zMmOaiZ3Sib9vnR,Gucci,0,2012
Give the Gift of Gucci,,"November 23, 2012 2:15pm",https://milled.com/Gucci/give-the-gift-of-gucci-nd1OVYhKWr4Df65I,Gucci,0,2012
Travel Light: Introducing the Gucci Viaggio Collection,,"November 16, 2012 2:17pm",https://milled.com/Gucci/travel-light-introducing-the-gucci-viaggio-collection-VkDoxig0q-Rco5qI,Gucci,0,2012
Step out in Style,,"November 6, 2012 7:14pm",https://milled.com/Gucci/step-out-in-style-fiy0jthcZ5acO8iW,Gucci,0,2012
Bundle Up In Style,,"November 3, 2012 1:03pm",https://milled.com/Gucci/bundle-up-in-style-Dw-_psByO1Iao_Rd,Gucci,0,2012
Discover the Best of Fall with GUCCI NOW,,"October 25, 2012 5:22pm",https://milled.com/Gucci/discover-the-best-of-fall-with-gucci-now-MANP8BINPtF5d5Rf,Gucci,0,2012
This Season's Must-Have Boots,,"October 23, 2012 4:56pm",https://milled.com/Gucci/this-seasons-must-have-boots-99MRWvFT45qhYeHu,Gucci,0,2012
Get Swept Away: Cruise is Here,,"October 16, 2012 5:34pm",https://milled.com/Gucci/get-swept-away-cruise-is-here-Zsdvt4EXdby4cT1k,Gucci,0,2012
The New Must-Have Shoe,,"October 10, 2012 4:10pm",https://milled.com/Gucci/the-new-must-have-shoe-bD3kPehAC0uycbCc,Gucci,0,2012
First Look: Cruise Handbags,,"October 2, 2012 4:16pm",https://milled.com/Gucci/first-look-cruise-handbags-gXnx4t8ctXySmfuj,Gucci,0,2012
Beautiful Pairings,,"September 28, 2012 4:06pm",https://milled.com/Gucci/beautiful-pairings-SjWG6oX-f5m8mhtk,Gucci,0,2012
The Women's 2013 Spring Summer Fashion Show photos are online,,"September 20, 2012 4:35pm",https://milled.com/Gucci/the-womens-2013-spring-summer-fashion-show-photos-are-online-hynw65-koWhQF9KB,Gucci,0,2012
A Lifetime of Luxury,,"September 19, 2012 4:47pm",https://milled.com/Gucci/a-lifetime-of-luxury-H_M1P-PopyeXumLv,Gucci,0,2012
Step it up with Betty,,"September 14, 2012 5:09pm",https://milled.com/Gucci/step-it-up-with-betty-K6J1J3ppV5o__Izr,Gucci,0,2012
Gucci Première: The New Essence For Women,,"September 7, 2012 4:04pm",https://milled.com/Gucci/gucci-premi-re-the-new-essence-for-women-gzrB8Cikhi5ocdiv,Gucci,0,2012
Dial N for Noir,,"September 4, 2012 5:05pm",https://milled.com/Gucci/dial-n-for-noir-Fh0dN1slIVHFtWqe,Gucci,0,2012
Back to School Style,,"August 30, 2012 4:17pm",https://milled.com/Gucci/back-to-school-style-Ct0fJ1ynS1-i5lHe,Gucci,0,2012
Set the tone,,"August 13, 2012 1:04am",https://milled.com/Gucci/set-the-tone-1i06R4mTvBQr8j-z,Gucci,0,2012
Iconic Inspirations: Soft Stirrup,,"August 8, 2012 4:17pm",https://milled.com/Gucci/iconic-inspirations-soft-stirrup-x8W6De5Me2O2q5QI,Gucci,0,2012
Fly Your Flag and Do Good,,"August 2, 2012 5:13pm",https://milled.com/Gucci/fly-your-flag-and-do-good-bB4wc7i4IpjJO-jQ,Gucci,0,2012
Welcome to your MyLV account,,"October 10, 2012 6:55am",https://milled.com/LouisVuitton/welcome-to-your-mylv-account-VzFb141SMIIhj4zA,Louis Vuitton,0,2012
Registration to the Louis Vuitton Newsletter,,"July 25, 2012 3:45pm",https://milled.com/LouisVuitton/registration-to-the-louis-vuitton-newsletter-VsQztiQ1h7p0Udlh,Louis Vuitton,0,2012
Christmas is in the air,,"December 17, 2012 4:56pm",https://milled.com/Hermes/christmas-is-in-the-air-m5cJsCX8D5RjHuSu,Hermes,0,2012
Perfect service,,"December 11, 2012 4:59pm",https://milled.com/Hermes/perfect-service-D-DjOuHlukIB04lw,Hermes,0,2012
A dazzling Ocean(e) view,,"November 30, 2012 4:58pm",https://milled.com/Hermes/a-dazzling-ocean-e-view-5sOMyQlFEYccN2L-,Hermes,0,2012
Be thankful!,,"November 19, 2012 5:00pm",https://milled.com/Hermes/be-thankful-p_wqja4kxSEa5dyo,Hermes,0,2012
Stacks of style!,,"November 9, 2012 5:01pm",https://milled.com/Hermes/stacks-of-style-OCR0qxjYqDcS76gH,Hermes,0,2012
Hocus-pocus!,,"October 30, 2012 5:00pm",https://milled.com/Hermes/hocus-pocus-2AZD-WNNyDXUY3IY,Hermes,0,2012
It's got zip!,,"October 23, 2012 4:02pm",https://milled.com/Hermes/its-got-zip-6CadcEKs7TQROFZT,Hermes,0,2012
Tie break,,"October 13, 2012 5:06pm",https://milled.com/Hermes/tie-break-sZGt33beemHJRNw6,Hermes,0,2012
A world of silk,,"September 26, 2012 5:42pm",https://milled.com/Hermes/a-world-of-silk-OnRO59otKvkY7I7E,Hermes,0,2012
A festival of color,,"September 18, 2012 6:01pm",https://milled.com/Hermes/a-festival-of-color-pZSt-Co8EyDGNvVj,Hermes,0,2012
Don't miss the Hermès Festival of Crafts,,"August 28, 2012 6:01pm",https://milled.com/Hermes/dont-miss-the-herm-s-festival-of-crafts-gNVc1-x0lCK_-KfD,Hermes,0,2012
Looking for a breath of fresh air?,,"August 21, 2012 6:15pm",https://milled.com/Hermes/looking-for-a-breath-of-fresh-air-eWF5npJiv9sg9XfA,Hermes,0,2012
Subscription confirmation,,"July 25, 2012 9:52pm",https://milled.com/Hermes/subscription-confirmation-doXsweh9rnK86gtK,Hermes,0,2012
PRADA Spring/Summer 2013 Menswear Campaign,,"December 21, 2012 4:14pm",https://milled.com/Prada/prada-spring-summer-2013-menswear-campaign-9lFAJlpiTQFSp9ZF,Prada,0,2012
PRADA The New Jewels Collection,,"December 6, 2012 9:53am",https://milled.com/Prada/prada-the-new-jewels-collection-2XJs-3prj79SOzTx,Prada,0,2012
PRADA announces the Fall/Winter 2012 sale,,"November 29, 2012 3:51pm",https://milled.com/Prada/prada-announces-the-fall-winter-2012-sale-bSD5Wa_Btf66nj4q,Prada,0,2012
PRADA New Gifts Collection,,"November 26, 2012 9:27am",https://milled.com/Prada/prada-new-gifts-collection-Rib-T_5ztCpjSHrp,Prada,0,2012
PRADA presents Il Palazzo: a multi-platform project,,"November 9, 2012 2:09pm",https://milled.com/Prada/prada-presents-il-palazzo-a-multi-platform-project-t24YZ_hyGbmzqNWL,Prada,0,2012
Discover PRADA new arrivals,,"October 15, 2012 9:10am",https://milled.com/Prada/discover-prada-new-arrivals-rFPrUZ5QgUIB8DmN,Prada,0,2012
PRADA presents the new Real Fantasies FW2012 video,,"September 27, 2012 1:36pm",https://milled.com/Prada/prada-presents-the-new-real-fantasies-fw2012-video-jC8xensehD_4OS2g,Prada,0,2012
PRADA LIVE NOW Spring/Summer 2013 Womenswear Show,,"September 20, 2012 4:37pm",https://milled.com/Prada/prada-live-now-spring-summer-2013-womenswear-show-Th6wTv_HuPnk3ZMy,Prada,0,2012
PRADA LIVE Spring/Summer 2013 Womenswear Show,,"September 19, 2012 3:21pm",https://milled.com/Prada/prada-live-spring-summer-2013-womenswear-show-wO0OUMOxtyWQdo9u,Prada,0,2012
PRADA PARFUMS PRESENTS THE NEW FRAGRANCE LUNA ROSSA,,"September 10, 2012 2:33pm",https://milled.com/Prada/prada-parfums-presents-the-new-fragrance-luna-rossa-8VNKjDOvFWgqN1bt,Prada,0,2012
Discover PRADA new arrivals,,"September 7, 2012 8:19am",https://milled.com/Prada/discover-prada-new-arrivals-aU-a3lH-DvBwYtFH,Prada,0,2012
VOGUE FASHION'S NIGHT OUT @ PRADA,,"September 5, 2012 6:02pm",https://milled.com/Prada/vogue-fashions-night-out-prada-bLORavV10LOWDYv7,Prada,0,2012
Discover PRADA new arrivals,,"July 27, 2012 9:06am",https://milled.com/Prada/discover-prada-new-arrivals-1rLd46PbqJGrx9jt,Prada,0,2012
Enjoy A Burberry Brit Holiday / The Sale Continues,,"December 26, 2012 6:26pm",https://milled.com/Burberry/enjoy-a-burberry-brit-holiday-the-sale-continues-wUnnaQKdN-tax7MM,Burberry,0,2012
The Burberry Sale,,"December 20, 2012 4:15pm",https://milled.com/Burberry/the-burberry-sale-PXeMIimR3FvwK_bc,Burberry,0,2012
Elegant Festive Gifts for Home and Travel,,"December 17, 2012 6:20pm",https://milled.com/Burberry/elegant-festive-gifts-for-home-and-travel-RI8d5FoKRyup3jEZ,Burberry,0,2012
Last Days to Shop Burberry Heritage Festive Gifts,,"December 14, 2012 5:41pm",https://milled.com/Burberry/last-days-to-shop-burberry-heritage-festive-gifts-HwAVkgSxOViP5GGJ,Burberry,0,2012
Celebrate the Season...,,"December 12, 2012 7:36pm",https://milled.com/Burberry/celebrate-the-season-xObz2CpFLy1cko-_,Burberry,0,2012
New Burberry Winter Knitwear,,"December 7, 2012 2:12pm",https://milled.com/Burberry/new-burberry-winter-knitwear-DS2mttPuiZBCAdyo,Burberry,0,2012
New Burberry Festive Arrivals,,"December 5, 2012 6:28pm",https://milled.com/Burberry/new-burberry-festive-arrivals-8S03gq2XZY7RD7gV,Burberry,0,2012
Burberry London - New Arrivals,,"November 26, 2012 6:45pm",https://milled.com/Burberry/burberry-london-new-arrivals-LdGWBv63xkfpcngL,Burberry,0,2012
Inspirational Gifts for All the Family,,"November 20, 2012 5:02pm",https://milled.com/Burberry/inspirational-gifts-for-all-the-family-730pCLqGQ1k8ev4w,Burberry,0,2012
